step(s);edge;lane_id;queue(xe);waitingTime(s);avgSpeed(m/s);density(m);outflow(xe);greenTime(s);redTime(s);cycleTime(s)
0;E3-2;E3-2_0;1;0.0;0,000000;10,000000;1;84.0;90.0;90.0
0;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
30;E3-2;E3-2_0;1;0.0;8,098749;40,000000;4;84.0;90.0;90.0
30;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
60;E3-2;E3-2_0;4;27.0;3,647148;70,000000;7;84.0;90.0;90.0
60;E3-2;E3-2_1;2;17.0;0,087306;30,000000;3;84.0;90.0;90.0
90;E3-2;E3-2_0;9;159.0;0,563928;100,000000;10;84.0;90.0;90.0
90;E3-2;E3-2_1;7;132.0;0,547123;80,000000;8;84.0;90.0;90.0
120;E3-2;E3-2_0;0;0.0;7,147265;30,000000;3;84.0;90.0;90.0
120;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
150;E3-2;E3-2_0;3;20.0;4,235664;60,000000;6;84.0;90.0;90.0
150;E3-2;E3-2_1;2;14.0;1,517519;30,000000;3;84.0;90.0;90.0
180;E3-2;E3-2_0;7;139.0;0,341200;90,000000;9;84.0;90.0;90.0
180;E3-2;E3-2_1;7;124.0;1,032380;80,000000;8;84.0;90.0;90.0
210;E3-2;E3-2_0;1;0.0;7,743392;40,000000;4;84.0;90.0;90.0
210;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
240;E3-2;E3-2_0;4;26.0;3,575779;70,000000;7;84.0;90.0;90.0
240;E3-2;E3-2_1;2;18.0;0,034398;30,000000;3;84.0;90.0;90.0
270;E3-2;E3-2_0;8;160.0;1,060301;100,000000;10;84.0;90.0;90.0
270;E3-2;E3-2_1;7;140.0;0,115506;80,000000;8;84.0;90.0;90.0
300;E3-2;E3-2_0;0;0.0;8,689966;30,000000;3;84.0;90.0;90.0
300;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
330;E3-2;E3-2_0;3;22.0;4,252048;60,000000;6;84.0;90.0;90.0
330;E3-2;E3-2_1;2;14.0;0,235172;30,000000;3;84.0;90.0;90.0
360;E3-2;E3-2_0;8;152.0;0,544544;100,000000;10;84.0;90.0;90.0
360;E3-2;E3-2_1;7;127.0;1,122076;80,000000;8;84.0;90.0;90.0
390;E3-2;E3-2_0;0;0.0;8,225487;40,000000;4;84.0;90.0;90.0
390;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
420;E3-2;E3-2_0;3;28.0;3,598767;70,000000;7;84.0;90.0;90.0
420;E3-2;E3-2_1;2;18.0;0,035133;30,000000;3;84.0;90.0;90.0
450;E3-2;E3-2_0;8;167.0;0,913114;100,000000;10;84.0;90.0;90.0
450;E3-2;E3-2_1;7;143.0;0,033227;80,000000;8;84.0;90.0;90.0
480;E3-2;E3-2_0;0;0.0;9,068769;30,000000;3;84.0;90.0;90.0
480;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
510;E3-2;E3-2_0;3;31.0;2,275419;60,000000;6;84.0;90.0;90.0
510;E3-2;E3-2_1;3;22.0;1,519752;40,000000;4;84.0;90.0;90.0
540;E3-2;E3-2_0;8;175.0;0,274052;100,000000;10;84.0;90.0;90.0
540;E3-2;E3-2_1;7;149.0;0,815450;90,000000;9;84.0;90.0;90.0
570;E3-2;E3-2_0;0;0.0;8,916275;30,000000;3;84.0;90.0;90.0
570;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
600;E3-2;E3-2_0;3;34.0;3,028457;70,000000;7;84.0;90.0;90.0
600;E3-2;E3-2_1;3;19.0;0,000152;30,000000;3;84.0;90.0;90.0
630;E3-2;E3-2_0;9;175.0;0,543104;100,000000;10;84.0;90.0;90.0
630;E3-2;E3-2_1;7;148.0;0,412835;90,000000;9;84.0;90.0;90.0
660;E3-2;E3-2_0;0;0.0;8,619819;30,000000;3;84.0;90.0;90.0
660;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
690;E3-2;E3-2_0;3;28.0;3,207898;70,000000;7;84.0;90.0;90.0
690;E3-2;E3-2_1;2;18.0;0,055036;30,000000;3;84.0;90.0;90.0
720;E3-2;E3-2_0;9;169.0;0,633647;100,000000;10;84.0;90.0;90.0
720;E3-2;E3-2_1;7;138.0;0,539202;90,000000;9;84.0;90.0;90.0
750;E3-2;E3-2_0;0;0.0;8,482711;30,000000;3;84.0;90.0;90.0
750;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
780;E3-2;E3-2_0;3;24.0;3,635211;60,000000;6;84.0;90.0;90.0
780;E3-2;E3-2_1;2;14.0;1,186977;30,000000;3;84.0;90.0;90.0
810;E3-2;E3-2_0;9;155.0;0,423633;100,000000;10;84.0;90.0;90.0
810;E3-2;E3-2_1;7;128.0;0,830012;80,000000;8;84.0;90.0;90.0
840;E3-2;E3-2_0;0;0.0;9,194648;40,000000;4;84.0;90.0;90.0
840;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
870;E3-2;E3-2_0;3;23.0;3,974587;60,000000;6;84.0;90.0;90.0
870;E3-2;E3-2_1;2;13.0;1,161707;30,000000;3;84.0;90.0;90.0
900;E3-2;E3-2_0;7;151.0;0,290827;90,000000;9;84.0;90.0;90.0
900;E3-2;E3-2_1;7;126.0;0,849476;80,000000;8;84.0;90.0;90.0
930;E3-2;E3-2_0;0;0.0;8,627785;30,000000;3;84.0;90.0;90.0
930;E3-2;E3-2_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
960;E3-2;E3-2_0;4;26.0;3,951201;70,000000;7;84.0;90.0;90.0
960;E3-2;E3-2_1;2;13.0;0,141563;30,000000;3;84.0;90.0;90.0
990;E3-2;E3-2_0;7;150.0;0,287559;90,000000;9;84.0;90.0;90.0
990;E3-2;E3-2_1;7;123.0;0,950892;80,000000;8;84.0;90.0;90.0
