step(s);edge;lane_id;queue(xe);waitingTime(s);avgSpeed(m/s);density(m);outflow(xe);greenTime(s);redTime(s);cycleTime(s)
0;E5-3;E5-3_0;1;0.0;0,000000;10,000000;1;84.0;90.0;90.0
0;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
30;E5-3;E5-3_0;4;34.0;2,408287;70,000000;7;84.0;90.0;90.0
30;E5-3;E5-3_1;3;27.0;1,311793;40,000000;4;84.0;90.0;90.0
60;E5-3;E5-3_0;1;0.0;7,370202;50,000000;5;84.0;90.0;90.0
60;E5-3;E5-3_1;0;0.0;10,861516;20,000000;2;84.0;90.0;90.0
90;E5-3;E5-3_0;1;0.0;6,066073;50,000000;5;84.0;90.0;90.0
90;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
120;E5-3;E5-3_0;7;92.0;1,753634;90,000000;9;84.0;90.0;90.0
120;E5-3;E5-3_1;5;78.0;0,442193;60,000000;6;84.0;90.0;90.0
150;E5-3;E5-3_0;0;0.0;6,443985;60,000000;6;84.0;90.0;90.0
150;E5-3;E5-3_1;0;0.0;7,075250;40,000000;4;84.0;90.0;90.0
180;E5-3;E5-3_0;0;0.0;8,059087;40,000000;4;84.0;90.0;90.0
180;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
210;E5-3;E5-3_0;5;84.0;1,024270;80,000000;8;84.0;90.0;90.0
210;E5-3;E5-3_1;5;68.0;1,175146;60,000000;6;84.0;90.0;90.0
240;E5-3;E5-3_0;0;0.0;6,470675;60,000000;6;84.0;90.0;90.0
240;E5-3;E5-3_1;0;0.0;7,714518;50,000000;5;84.0;90.0;90.0
270;E5-3;E5-3_0;1;2.0;6,474872;40,000000;4;84.0;90.0;90.0
270;E5-3;E5-3_1;0;0.0;6,835933;10,000000;1;84.0;90.0;90.0
300;E5-3;E5-3_0;6;108.0;0,898872;80,000000;8;84.0;90.0;90.0
300;E5-3;E5-3_1;6;89.0;1,375718;70,000000;7;84.0;90.0;90.0
330;E5-3;E5-3_0;0;0.0;6,612400;60,000000;6;84.0;90.0;90.0
330;E5-3;E5-3_1;0;0.0;7,498510;50,000000;5;84.0;90.0;90.0
360;E5-3;E5-3_0;1;2.0;5,768951;40,000000;4;84.0;90.0;90.0
360;E5-3;E5-3_1;0;0.0;8,936585;10,000000;1;84.0;90.0;90.0
390;E5-3;E5-3_0;6;102.0;1,832512;90,000000;9;84.0;90.0;90.0
390;E5-3;E5-3_1;5;81.0;0,072999;60,000000;6;84.0;90.0;90.0
420;E5-3;E5-3_0;1;0.0;5,114917;60,000000;6;84.0;90.0;90.0
420;E5-3;E5-3_1;0;0.0;7,110682;50,000000;5;84.0;90.0;90.0
450;E5-3;E5-3_0;1;0.0;5,816705;50,000000;5;84.0;90.0;90.0
450;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
480;E5-3;E5-3_0;7;93.0;1,786160;90,000000;9;84.0;90.0;90.0
480;E5-3;E5-3_1;5;75.0;0,115808;60,000000;6;84.0;90.0;90.0
510;E5-3;E5-3_0;0;0.0;7,011624;60,000000;6;84.0;90.0;90.0
510;E5-3;E5-3_1;0;0.0;7,222658;50,000000;5;84.0;90.0;90.0
540;E5-3;E5-3_0;0;0.0;5,154363;40,000000;4;84.0;90.0;90.0
540;E5-3;E5-3_1;0;0.0;9,138428;10,000000;1;84.0;90.0;90.0
570;E5-3;E5-3_0;6;98.0;1,628204;90,000000;9;84.0;90.0;90.0
570;E5-3;E5-3_1;6;82.0;0,002709;60,000000;6;84.0;90.0;90.0
600;E5-3;E5-3_0;1;0.0;5,352636;60,000000;6;84.0;90.0;90.0
600;E5-3;E5-3_1;0;0.0;7,774553;40,000000;4;84.0;90.0;90.0
630;E5-3;E5-3_0;0;0.0;7,480083;40,000000;4;84.0;90.0;90.0
630;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
660;E5-3;E5-3_0;6;89.0;1,893159;80,000000;8;84.0;90.0;90.0
660;E5-3;E5-3_1;5;74.0;1,090758;60,000000;6;84.0;90.0;90.0
690;E5-3;E5-3_0;0;0.0;7,208237;60,000000;6;84.0;90.0;90.0
690;E5-3;E5-3_1;0;0.0;8,922084;40,000000;4;84.0;90.0;90.0
720;E5-3;E5-3_0;0;0.0;6,524063;40,000000;4;84.0;90.0;90.0
720;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
750;E5-3;E5-3_0;5;83.0;1,147742;80,000000;8;84.0;90.0;90.0
750;E5-3;E5-3_1;5;67.0;0,954241;60,000000;6;84.0;90.0;90.0
780;E5-3;E5-3_0;0;0.0;6,364325;60,000000;6;84.0;90.0;90.0
780;E5-3;E5-3_1;0;0.0;7,910841;50,000000;5;84.0;90.0;90.0
810;E5-3;E5-3_0;0;0.0;5,899447;40,000000;4;84.0;90.0;90.0
810;E5-3;E5-3_1;0;0.0;8,211282;10,000000;1;84.0;90.0;90.0
840;E5-3;E5-3_0;6;100.0;1,710498;90,000000;9;84.0;90.0;90.0
840;E5-3;E5-3_1;5;77.0;0,016807;60,000000;6;84.0;90.0;90.0
870;E5-3;E5-3_0;0;0.0;7,349271;60,000000;6;84.0;90.0;90.0
870;E5-3;E5-3_1;0;0.0;8,376614;50,000000;5;84.0;90.0;90.0
900;E5-3;E5-3_0;0;0.0;7,818364;40,000000;4;84.0;90.0;90.0
900;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
930;E5-3;E5-3_0;6;89.0;1,605762;80,000000;8;84.0;90.0;90.0
930;E5-3;E5-3_1;5;68.0;0,789240;60,000000;6;84.0;90.0;90.0
960;E5-3;E5-3_0;0;0.0;6,590746;60,000000;6;84.0;90.0;90.0
960;E5-3;E5-3_1;0;0.0;8,075582;40,000000;4;84.0;90.0;90.0
990;E5-3;E5-3_0;0;0.0;7,220043;40,000000;4;84.0;90.0;90.0
990;E5-3;E5-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
