step;queue;waitingTime;avgSpeed;density;outflow;greenTime;redTime;cycleTime
0;1;0.0;0,000000;0,010000;1;84.0;90.0;90.0
30;8;72.0;0,803197;0,110000;11;84.0;90.0;90.0
60;6;38.0;0,257169;0,120000;12;84.0;90.0;90.0
90;11;322.0;0,192151;0,130000;13;84.0;90.0;90.0
120;13;268.0;0,000000;0,130000;13;84.0;90.0;90.0
150;3;9.0;1,578797;0,100000;10;84.0;90.0;90.0
180;12;296.0;0,174398;0,130000;13;84.0;90.0;90.0
210;13;256.0;0,000000;0,130000;13;84.0;90.0;90.0
240;3;9.0;1,522889;0,100000;10;84.0;90.0;90.0
270;12;281.0;0,198157;0,130000;13;84.0;90.0;90.0
300;13;258.0;0,000000;0,130000;13;84.0;90.0;90.0
330;3;5.0;1,454622;0,100000;10;84.0;90.0;90.0
360;11;249.0;0,150263;0,130000;13;84.0;90.0;90.0
390;13;271.0;0,000000;0,130000;13;84.0;90.0;90.0
420;4;10.0;1,699389;0,100000;10;84.0;90.0;90.0
450;12;285.0;0,147920;0,130000;13;84.0;90.0;90.0
480;13;256.0;0,000011;0,130000;13;84.0;90.0;90.0
510;3;9.0;1,378050;0,110000;11;84.0;90.0;90.0
540;12;281.0;0,148573;0,130000;13;84.0;90.0;90.0
570;13;235.0;0,000017;0,130000;13;84.0;90.0;90.0
